departure_time,file_name,journey_pattern_ref,journey_ticket_machine_code,line_ref,operator_ref,service_ref,vehicle_journey_code
12:40:00,404-21-404-_-y05-2_1.xml,JP3,23,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ178
12:55:00,404-21-404-_-y05-2_1.xml,JP7,28,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ179
13:10:00,404-21-404-_-y05-2_1.xml,JP3,25,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ180
13:25:00,404-21-404-_-y05-2_1.xml,JP7,30,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ181
13:40:00,404-21-404-_-y05-2_1.xml,JP3,27,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ182
13:55:00,404-21-404-_-y05-2_1.xml,JP7,32,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ183
14:10:00,404-21-404-_-y05-2_1.xml,JP3,29,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ184
14:25:00,404-21-404-_-y05-2_1.xml,JP7,34,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ185
14:40:00,404-21-404-_-y05-2_1.xml,JP3,31,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ186
14:55:00,404-21-404-_-y05-2_1.xml,JP7,36,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ187
15:10:00,404-21-404-_-y05-2_1.xml,JP3,33,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ188
15:25:00,404-21-404-_-y05-2_1.xml,JP7,38,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ189
15:40:00,404-21-404-_-y05-2_1.xml,JP3,35,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ190
15:55:00,404-21-404-_-y05-2_1.xml,JP7,40,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ191
16:10:00,404-21-404-_-y05-2_1.xml,JP3,37,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ192
16:25:00,404-21-404-_-y05-2_1.xml,JP7,42,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ193
16:40:00,404-21-404-_-y05-2_1.xml,JP3,39,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ194
16:55:00,404-21-404-_-y05-2_1.xml,JP7,44,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ195
17:10:00,404-21-404-_-y05-2_1.xml,JP3,41,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ196
17:25:00,404-21-404-_-y05-2_1.xml,JP7,46,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ197
17:40:00,404-21-404-_-y05-2_1.xml,JP3,43,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ198
